Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius_A	Radius_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	                     Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.5	1110	555	555	516.5	516.0	50	800                             	1035.5	966.8	1071.0	915.9	680.8	1196.5	294397.9	250587.1	342502.1	3948.1	3357.9	4589.5	124224.3	169710.6	146008.5	125879.5	170280.6	148295.0
0.5	1110	555	555	514.0	512.0	50	850                             	1026.0	962.0	1067.0	806.2	621.5	1128.1	274905.3	234298.7	321791.0	3683.7	3139.6	4312.0	118258.2	159901.9	136358.4	116847.6	161749.6	138941.6
0.5	1110	555	555	515.0	514.0	50	900                             	1030.0	959.5	1070.5	711.8	554.5	958.7	262550.9	229799.0	300519.3	3518.2	3079.3	4027.0	113560.5	149713.1	131446.2	115632.0	152728.3	131041.3
0.5	1110	555	555	517.0	517.5	50	950                             	1036.0	964.0	1072.5	739.3	529.2	954.9	267642.4	222506.3	306879.6	3586.4	2981.6	4112.2	110761.4	153693.6	134083.9	112058.5	154943.8	135802.4
0.5	1110	555	555	517.5	515.0	50	1000                             	1034.0	958.2	1074.0	688.4	528.8	869.2	264927.0	230495.8	300803.0	3550.0	3088.6	4034.1	114772.4	149539.3	131514.8	115595.1	151142.5	133063.4
0.5	1110	555	555	519.5	518.5	50	1050                             	1037.5	980.0	1081.0	637.8	469.8	856.2	255094.4	207775.3	296405.1	3418.3	2785.0	3971.8	104295.2	147754.0	127561.3	104127.4	148235.7	126033.4
0.5	1110	555	555	525.0	525.5	50	1100                             	1050.0	988.0	1091.8	584.3	462.1	818.5	256723.9	213991.1	292075.0	3440.1	2867.5	3913.8	108401.0	144713.8	127888.3	107777.2	146272.9	129076.9
0.5	1110	555	555	533.5	533.5	50	1150                             	1069.5	992.2	1098.0	597.4	466.6	800.7	256636.5	217036.9	294110.9	3438.9	2908.3	3941.1	109022.0	147387.9	128106.3	108303.1	148155.2	129228.5
0.5	1110	555	555	541.0	541.0	100	0                             	1081.0	1076.0	1085.0	3600.7	3272.3	3979.7	422222.4	408451.7	437351.3	5657.8	5473.3	5860.5	176771.2	190230.2	183629.7	230507.9	248302.9	238896.4
0.5	1110	555	555	540.0	539.0	100	50                             	1080.0	1074.0	1085.0	3398.4	3136.4	3778.1	415297.4	402958.6	427440.0	5565.0	5399.6	5727.7	174761.6	188186.5	181634.9	224084.1	240881.1	233772.9
0.5	1110	555	555	539.0	537.0	100	100                             	1076.5	1068.0	1082.0	3238.5	2909.4	3532.4	402618.3	388873.5	419978.1	5395.1	5210.9	5627.7	174698.9	191103.9	182125.6	211950.6	230539.3	221353.2
0.5	1110	555	555	537.0	536.0	100	150                             	1072.0	1064.0	1080.0	2888.4	2581.4	3268.6	406400.3	388705.4	425655.7	5445.8	5208.7	5703.8	179209.8	199823.1	188260.3	207792.4	227117.5	217776.7
0.5	1110	555	555	536.0	535.0	100	200                             	1071.0	1061.0	1080.0	2648.2	2394.1	3113.4	401088.8	383692.1	427221.1	5374.6	5141.5	5724.8	180753.6	202710.2	189603.6	201672.9	225292.9	211754.9
0.5	1110	555	555	533.0	534.0	100	250                             	1066.0	1053.2	1078.0	2519.5	2205.3	2906.5	405621.7	382745.5	434983.1	5435.3	5128.8	5828.8	182773.9	209950.1	194121.6	198058.1	226276.8	211689.5
0.5	1110	555	555	533.0	532.0	100	300                             	1063.5	1042.5	1076.0	2400.4	2080.6	2727.5	400148.5	374033.7	431697.6	5362.0	5012.1	5784.7	181699.1	208942.9	193645.8	192211.5	221390.6	205793.5
0.5	1110	555	555	529.0	528.5	100	350                             	1058.5	1028.2	1072.8	2087.5	1770.1	2491.3	395213.8	366979.8	431505.1	5295.9	4917.5	5782.2	178167.9	209871.2	193362.0	187080.0	221913.6	203099.8
0.5	1110	555	555	523.0	524.0	100	400                             	1048.0	1011.5	1074.8	1992.0	1625.4	2388.0	385232.3	351920.3	422413.1	5162.1	4715.7	5660.3	171559.5	207008.7	189264.9	179443.6	216625.3	196623.8
0.5	1110	555	555	523.0	521.0	100	450                             	1044.0	999.0	1071.0	1762.7	1474.0	2207.4	381498.8	344121.5	417967.4	5112.1	4615.5	5600.8	168510.3	206757.9	187150.1	173032.4	211401.4	193190.3
0.5	1110	555	555	510.5	511.0	100	500                             	1020.5	964.0	1060.8	1622.0	1316.2	2052.6	352815.8	317188.9	399649.0	4727.7	4250.3	5355.3	157829.9	196353.4	175139.7	159741.1	202009.0	179609.1
0.5	1110	555	555	511.0	510.5	100	550                             	1024.0	950.5	1061.0	1483.0	1187.9	1833.7	346765.4	309059.7	387018.4	4647.6	4142.7	5189.8	153063.0	192916.1	171365.5	156068.8	193863.3	175220.0
0.5	1110	555	555	502.0	500.0	100	600                             	1002.5	933.0	1063.0	1376.8	1053.1	1720.1	326088.6	283194.5	371101.2	4369.6	3794.8	4972.8	139236.3	184981.7	160354.5	144936.4	187412.6	166383.5
0.5	1110	555	555	509.5	508.5	100	650                             	1017.5	958.0	1066.0	1265.4	1018.3	1607.4	327101.1	280291.5	372671.1	4383.2	3755.9	4993.8	138036.4	186301.6	162394.5	140679.2	188409.2	165523.1
0.5	1110	555	555	509.5	508.5	100	700                             	1020.5	937.0	1060.8	1088.2	897.8	1426.1	310277.6	265837.8	349458.9	4159.8	3566.1	4682.7	132405.3	173834.4	154897.6	134633.7	176998.2	155763.1
0.5	1110	555	555	515.5	515.5	100	750                             	1030.0	963.2	1073.0	990.4	772.4	1335.0	305780.1	264267.1	338393.6	4097.5	3541.2	4534.5	130478.2	169449.9	151471.3	133901.8	171667.2	153643.9
0.5	1110	555	555	501.0	501.5	100	800                             	1003.0	939.2	1061.0	894.4	655.8	1177.6	286227.3	248353.4	331368.8	3835.4	3327.9	4440.3	123040.6	164448.1	142081.2	123990.1	166751.0	144661.4
0.5	1110	555	555	502.0	502.0	100	850                             	1004.0	933.5	1060.8	872.3	667.3	1163.2	276800.1	235826.1	325008.4	3709.1	3160.1	4355.1	117398.3	163258.4	137342.5	117432.6	164183.8	139934.8
0.5	1110	555	555	512.0	510.5	100	900                             	1021.0	953.2	1067.8	804.5	598.3	1092.7	273094.8	234257.8	311687.2	3659.5	3139.1	4176.6	116030.3	155936.5	135493.1	116554.0	158175.8	137065.0
0.5	1110	555	555	511.5	512.0	100	950                             	1026.5	956.0	1072.0	729.0	561.1	992.2	264077.6	224448.7	309627.9	3538.6	3007.6	4149.0	110788.5	154814.3	131308.3	113117.4	155218.4	131374.7
0.5	1110	555	555	512.0	512.0	100	1000                             	1024.0	955.2	1074.8	736.4	530.6	936.9	253673.8	223197.7	293217.8	3399.2	2990.8	3929.1	111785.8	146959.1	126005.8	111949.9	144662.4	126673.2
0.5	1110	555	555	520.5	518.5	100	1050                             	1036.0	966.5	1078.8	654.2	498.7	862.3	258199.4	213760.9	302629.2	3459.9	2865.2	4055.2	105742.2	151037.3	127213.7	107175.8	150438.2	130138.1
0.5	1110	555	555	525.0	525.5	100	1100                             	1051.0	979.5	1089.0	615.9	449.0	856.7	251817.1	213584.5	292300.3	3374.3	2862.0	3916.8	105473.6	146313.2	126171.1	107270.4	149035.8	126283.0
