Frac_B,N,N_a,N_b,Med_KE_A,Med_KE_B,Radius,Med_KE,Q1_KE,Q3_KE,Med_time,Q1_endtime,Q3_endtime,Med_AUDPC,Q1_AUDPC,Q3_AUDPC,Med_AUDPC_SPS,Q1_AUDPC_SPS,Q3_AUDPC_SPS,Q1_AUDPC_A,Q3_AUDPC_A,Med_AUDPC_A,Q1_AUDPC_B,Q3_AUDPC_B,Med_AUDPC_B
0.2,1110,888,222,788,204,150,992,964.2,1013,3142.4,2734.6,3633.3,431089.6,403541.3,467201.8,8621.8,8070.8,9344,322720.6,375156.5,347624.5,78894.8,91865.6,84564.9
0.2,1110,888,222,712.5,184,200,898,840.5,950.8,2644.9,2299.9,3057.5,413120.2,357558.8,468190.9,8262.4,7153.7,9363.8,290579.1,380613.2,335746.4,67108.7,88562.2,77603.9
0.2,1110,888,222,608.5,155.5,250,764.5,668.2,853.8,2102.7,1762.6,2449.7,329134.2,261176.4,393235.3,6582.7,5223.5,7869,213866.4,318666.1,266723,49950.7,73510.5,61981.5
0.2,1110,888,222,547,139.5,300,689,576,771,1575.1,1267.8,1985.4,257314.7,191683.2,321060.2,5146.3,3833.7,6421.2,153920.8,261014.2,208101.7,37003.7,60785.2,48643.5
0.2,1110,888,222,490.5,124,350,608.5,498,727.5,1214.5,910.2,1584.3,199180.6,136299.8,263032.1,3983.6,2728.7,5264,110790.6,210662.3,159852.2,25945.2,50671.7,38421.5
0.2,1110,888,222,476.5,120,400,591,511.5,687,957.6,759.3,1290.3,170346.8,126843.5,217845.8,3406.9,2541,4356.9,102419.8,177293.6,137671.6,23924.5,42087.8,32104.5
0.2,1110,888,222,474.5,121,450,591.5,511.8,682.8,804.3,596.9,1054.9,155538,113817.5,196865.8,3113.8,2277.5,3937.3,92166,157305.4,125189.5,20999.4,37952,30017.5
0.2,1110,888,222,483,121,500,603.5,526.2,696.8,691.9,541.1,892.2,137916.3,103329.4,175269.2,2762,2069.2,3508.5,82884.2,140777.7,111453.3,20598.2,35259.7,26858.1
0.2,1110,888,222,495.5,128,550,623,565.8,710.5,632.2,507.6,809.2,140608.5,109437.2,173794.5,2818.3,2195,3480.5,87402.3,141045,112489.1,21417.5,34120,27391.5
0.2,1110,888,222,529.5,132.5,600,662.5,584.5,737.5,573,430,795.8,134955,111341.3,168008,2699.1,2232.2,3364.9,88835,135618.7,108633.2,21358.5,32830.4,25995.2
0.2,1110,888,222,549,139,650,686.5,617.5,752,517.5,391.8,669.3,131011.7,105630.1,163671.6,2621.4,2112.6,3277.2,84556.5,131438.5,105712.6,20255.5,32185.4,25852
