	Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B	Med_KE_A_singlenorm	Med_KE_B_singlenorm	Med_KE_A_doublenorm	Med_KE_B_doublenorm	Med_AUDPC_A_single	Med_AUDPC_B_single	Med_AUDPC_A_double	Med_AUDPC_B_double	KE_ratio_single	KE_ratio_unnorm
52	0.4	1110	666	444	638.0	435.0	100	1073.0	1067.0	1079.0	3455.7	3175.6	3830.2	407430.2	397170.2	422383.3	8148.6	7947.8	8447.7	215039.1	232349.2	222784.5	179749.3	192798.8	186012.1	0.9579579579579579	0.9797297297297297	47.89789789789789	48.986486486486484	334.51126126126127	418.94617117117116	16725.563063063062	20947.308558558558	1.0227272727272727	1.4666666666666666
53	0.4	1110	666	444	626.0	426.0	150	1052.0	1036.2	1062.0	3080.6	2773.3	3506.6	407642.3	386533.4	427625.2	8152.8	7730.7	8552.5	230288.6	260233.9	243774.1	153824.5	171217.8	163335.6	0.93993993993994	0.9594594594594594	46.996996996997	47.97297297297297	366.0271771771772	367.872972972973	18301.358858858857	18393.648648648646	1.0207667731629393	1.4694835680751173
54	0.4	1110	666	444	607.0	411.0	200	1016.0	985.0	1041.0	2677.5	2365.7	3108.0	403028.0	371540.5	434518.8	8061.1	7430.8	8690.4	229795.3	270752.3	248161.5	141957.0	165779.4	154608.3	0.9114114114114115	0.9256756756756757	45.570570570570574	46.28378378378378	372.61486486486484	348.21689189189186	18630.743243243243	17410.844594594593	1.015650741350906	1.4768856447688565
55	0.4	1110	666	444	566.0	385.0	250	952.0	888.0	992.0	2422.7	2053.4	2797.2	387995.4	343552.9	435817.8	7759.9	6873.4	8716.4	210577.9	270059.5	241364.0	131091.4	163936.8	146590.1	0.8498498498498499	0.8671171171171171	42.492492492492495	43.35585585585586	362.40840840840843	330.1578828828829	18120.42042042042	16507.894144144142	1.0203180212014133	1.4701298701298702
56	0.4	1110	666	444	512.0	343.0	300	854.0	788.8	933.8	1898.9	1571.5	2352.0	328574.4	279484.7	384292.9	6571.5	5589.7	7685.9	174990.0	238204.1	202267.2	105567.0	146403.6	125801.1	0.7687687687687688	0.7725225225225225	38.43843843843844	38.626126126126124	303.70450450450454	283.3358108108108	15185.225225225226	14166.79054054054	1.0048828125	1.4927113702623906
57	0.4	1110	666	444	465.0	313.0	350	778.0	675.2	881.8	1536.5	1285.0	1879.7	272158.8	218230.0	330307.8	5445.9	4364.6	6608.2	132287.0	205309.1	168411.7	82348.3	125401.6	106143.9	0.6981981981981982	0.704954954954955	34.909909909909906	35.247747747747745	252.87042042042043	239.06283783783783	12643.521021021023	11953.14189189189	1.0096774193548388	1.4856230031948883
58	0.4	1110	666	444	446.0	299.0	400	741.5	625.0	839.5	1233.2	991.4	1538.9	225959.6	177475.7	283912.0	4522.9	3551.1	5684.1	107054.1	174991.8	138163.5	68901.8	109696.6	87593.2	0.6696696696696697	0.6734234234234234	33.48348348348348	33.67117117117117	207.4527027027027	197.28198198198197	10372.635135135135	9864.099099099098	1.0056053811659194	1.491638795986622
59	0.4	1110	666	444	425.5	288.0	450	709.5	631.2	817.0	1104.8	875.8	1405.2	200700.3	162300.2	260326.6	4017.5	3250.3	5206.5	100040.4	158792.2	125138.5	64245.6	100693.0	77625.0	0.6388888888888888	0.6486486486486487	31.944444444444443	32.432432432432435	187.89564564564566	174.8310810810811	9394.782282282282	8741.554054054053	1.0152761457109285	1.4774305555555556
60	0.4	1110	666	444	417.5	280.0	500	695.5	620.0	793.8	881.5	686.2	1133.7	185393.8	144877.8	231401.9	3710.3	2898.9	4628.0	86463.0	140875.6	113667.0	56947.0	89211.9	71363.8	0.6268768768768769	0.6306306306306306	31.343843843843842	31.53153153153153	170.67117117117118	160.7292792792793	8533.558558558558	8036.463963963964	1.0059880239520957	1.4910714285714286
61	0.4	1110	666	444	421.0	283.0	550	706.0	615.0	787.2	740.3	566.6	1006.9	161959.5	124342.9	213461.5	3239.2	2490.7	4271.4	75623.3	129882.0	100188.5	48124.3	83343.6	62243.0	0.6321321321321322	0.6373873873873874	31.606606606606608	31.86936936936937	150.4331831831832	140.18693693693695	7521.659159159159	7009.346846846846	1.0083135391923992	1.4876325088339222
62	0.4	1110	666	444	432.0	287.0	600	716.5	640.0	799.8	650.7	482.3	883.1	158114.7	125252.4	203486.9	3166.9	2505.0	4069.7	75125.4	125432.0	96017.6	50147.5	78906.9	63078.7	0.6486486486486487	0.6463963963963963	32.432432432432435	32.31981981981982	144.1705705705706	142.06914414414413	7208.528528528529	7103.457207207206	0.9965277777777777	1.505226480836237
