# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7fc55e39ea20>; Scale Parameter = 119m ; Sps Parameters = [[0.02       0.09       0.00285714 0.00053   ]
 [0.02       0.14       0.00285714 0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Radius	Med_KE_A	Med_KE_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.2	1110	888	222	529.5	132.5	600	662.5	584.5	737.5	573.0	430.0	795.8	134955.0	111341.3	168008.0	2699.1	2232.2	3364.9	88835.0	135618.7	108633.2	21358.5	32830.4	25995.2
0.2	1110	888	222	549.0	139.0	650	686.5	617.5	752.0	517.5	391.8	669.3	131011.7	105630.1	163671.6	2621.4	2112.6	3277.2	84556.5	131438.5	105712.6	20255.5	32185.4	25852.0
0.2	1110	888	222	558.0	139.5	700	696.0	631.8	777.2	454.0	348.2	590.9	123452.0	99756.8	157968.9	2470.4	2002.8	3161.6	79697.8	126919.6	99722.7	19714.5	30561.4	24835.3
0.2	1110	888	222	594.0	150.0	750	746.5	664.8	811.0	457.1	333.1	561.1	132672.0	102783.2	165222.2	2655.4	2056.7	3304.4	82276.7	132519.9	105549.2	20579.2	32144.5	26186.9
0.2	1110	888	222	608.0	154.5	800	764.5	691.8	832.5	416.8	326.1	545.6	137948.1	104942.8	163328.7	2759.0	2101.3	3267.1	84252.0	130768.4	110325.7	20616.8	32278.8	27330.0
0.2	1110	888	222	632.0	159.5	850	790.5	716.2	845.8	379.8	280.8	524.1	126804.4	99651.5	152514.3	2536.1	1998.5	3050.3	80058.3	121720.3	101071.6	19858.5	30680.9	24585.8
0.2	1110	888	222	644.0	163.0	900	809.0	744.0	884.8	358.2	281.6	508.4	126243.4	107335.6	159821.5	2529.7	2146.7	3201.9	85873.5	128312.9	100811.3	20960.2	30833.7	25809.0
0.2	1110	888	222	679.5	172.5	950	849.5	789.0	932.0	369.9	293.8	484.0	134910.4	108525.4	164883.5	2698.2	2170.5	3297.7	87506.5	132657.8	108224.4	21251.8	32939.3	27160.2
0.2	1110	888	222	710.5	177.0	1000	882.5	798.0	950.8	366.3	285.8	463.2	136530.4	109663.3	168722.6	2733.5	2193.8	3374.5	87893.6	134648.4	109809.5	21656.5	33416.3	26834.7
0.2	1110	888	222	712.5	181.0	1050	896.0	813.0	965.5	326.9	242.3	447.5	133898.4	104049.4	164237.0	2678.0	2081.0	3284.7	83097.3	131081.7	106935.4	20892.9	32824.5	26557.6
0.2	1110	888	222	736.0	185.0	1100	921.5	846.5	981.5	302.4	241.6	425.5	129518.2	104420.4	153151.6	2590.4	2090.2	3063.0	84305.1	122993.9	103726.2	20744.4	30747.9	25140.5
0.2	1110	888	222	750.5	190.0	1150	941.0	862.0	996.8	295.9	225.8	395.9	133052.1	106624.2	159555.7	2667.8	2132.5	3191.1	84557.7	129579.2	106443.9	21363.9	31037.8	26338.7
0.2	1110	888	222	749.5	189.0	1200	937.5	867.5	1002.8	286.1	210.1	411.2	122745.8	101585.0	152305.3	2456.5	2039.9	3047.4	82229.7	122135.4	99099.9	20231.9	29757.4	24373.4
0.4	1110	666	444	655.0	442.0	0	1097.0	1094.0	1100.0	3833.5	3535.3	4164.2	559802.5	547543.2	568539.4	11196.1	10950.9	11370.8	249732.7	261982.0	256828.6	294524.3	309568.6	301778.6
0.4	1110	666	444	650.0	441.0	50	1090.0	1086.2	1093.0	3720.9	3388.6	4148.0	485329.4	475164.0	493778.9	9706.6	9503.3	9875.6	228740.8	239647.0	234222.3	243650.1	257190.5	250122.8
0.4	1110	666	444	638.0	435.0	100	1073.0	1067.0	1079.0	3455.7	3175.6	3830.2	407430.2	397170.2	422383.3	8148.6	7947.8	8447.7	215039.1	232349.2	222784.5	179749.3	192798.8	186012.1
0.4	1110	666	444	626.0	426.0	150	1052.0	1036.2	1062.0	3080.6	2773.3	3506.6	407642.3	386533.4	427625.2	8152.8	7730.7	8552.5	230288.6	260233.9	243774.1	153824.5	171217.8	163335.6
0.4	1110	666	444	607.0	411.0	200	1016.0	985.0	1041.0	2677.5	2365.7	3108.0	403028.0	371540.5	434518.8	8061.1	7430.8	8690.4	229795.3	270752.3	248161.5	141957.0	165779.4	154608.3
0.4	1110	666	444	566.0	385.0	250	952.0	888.0	992.0	2422.7	2053.4	2797.2	387995.4	343552.9	435817.8	7759.9	6873.4	8716.4	210577.9	270059.5	241364.0	131091.4	163936.8	146590.1
0.4	1110	666	444	512.0	343.0	300	854.0	788.8	933.8	1898.9	1571.5	2352.0	328574.4	279484.7	384292.9	6571.5	5589.7	7685.9	174990.0	238204.1	202267.2	105567.0	146403.6	125801.1
0.4	1110	666	444	465.0	313.0	350	778.0	675.2	881.8	1536.5	1285.0	1879.7	272158.8	218230.0	330307.8	5445.9	4364.6	6608.2	132287.0	205309.1	168411.7	82348.3	125401.6	106143.9
0.4	1110	666	444	446.0	299.0	400	741.5	625.0	839.5	1233.2	991.4	1538.9	225959.6	177475.7	283912.0	4522.9	3551.1	5684.1	107054.1	174991.8	138163.5	68901.8	109696.6	87593.2
0.4	1110	666	444	425.5	288.0	450	709.5	631.2	817.0	1104.8	875.8	1405.2	200700.3	162300.2	260326.6	4017.5	3250.3	5206.5	100040.4	158792.2	125138.5	64245.6	100693.0	77625.0
0.4	1110	666	444	417.5	280.0	500	695.5	620.0	793.8	881.5	686.2	1133.7	185393.8	144877.8	231401.9	3710.3	2898.9	4628.0	86463.0	140875.6	113667.0	56947.0	89211.9	71363.8
0.4	1110	666	444	421.0	283.0	550	706.0	615.0	787.2	740.3	566.6	1006.9	161959.5	124342.9	213461.5	3239.2	2490.7	4271.4	75623.3	129882.0	100188.5	48124.3	83343.6	62243.0
0.4	1110	666	444	432.0	287.0	600	716.5	640.0	799.8	650.7	482.3	883.1	158114.7	125252.4	203486.9	3166.9	2505.0	4069.7	75125.4	125432.0	96017.6	50147.5	78906.9	63078.7
0.4	1110	666	444	434.5	287.0	650	721.0	653.0	794.5	608.9	435.6	786.9	150651.7	119735.3	191148.3	3013.0	2395.7	3824.5	72587.1	116532.5	91822.6	47439.0	74841.4	59355.8
0.4	1110	666	444	445.0	297.5	700	742.0	669.0	822.8	537.4	407.1	721.4	150098.2	116501.8	192183.4	3005.8	2335.1	3844.8	70762.1	117497.1	91143.8	45460.3	74249.3	59290.7
0.4	1110	666	444	471.5	313.0	750	781.0	696.0	856.0	489.9	380.4	661.8	150963.0	114498.8	184397.8	3021.6	2290.2	3688.2	69579.2	111840.2	91381.6	45370.3	73148.4	59818.0
0.4	1110	666	444	475.0	319.0	800	794.5	709.5	863.8	469.3	364.0	645.7	149180.5	119354.6	183668.0	2983.6	2387.1	3673.4	71663.8	111276.5	91120.0	47053.8	71882.2	59157.1
0.4	1110	666	444	486.5	327.5	850	818.0	739.0	883.8	446.6	334.1	599.8	144135.0	114174.5	174898.5	2890.5	2284.3	3505.6	67912.5	106431.2	87469.8	45536.5	69616.2	56981.4
0.4	1110	666	444	504.0	339.5	900	847.0	768.2	903.8	401.3	311.1	530.0	141618.8	115639.9	170582.2	2836.9	2316.4	3411.6	70342.8	101912.0	85114.1	45914.2	67519.0	55950.4
0.4	1110	666	444	521.0	352.0	950	874.0	791.0	929.0	375.3	293.8	487.6	143475.8	112522.0	173529.4	2871.2	2255.8	3471.5	67933.0	104938.2	85689.5	44893.2	69454.8	57792.2
0.4	1110	666	444	536.0	359.0	1000	893.0	824.5	960.8	369.5	279.1	522.6	147151.0	114497.7	173096.6	2943.0	2290.0	3462.9	68383.3	105356.9	87674.8	46206.4	68947.7	57577.5
0.4	1110	666	444	547.5	366.5	1050	912.5	835.2	973.0	337.9	267.3	459.2	145701.5	116318.9	178160.7	2914.0	2326.4	3566.6	69701.7	107322.8	88069.0	46161.9	70525.6	58062.1
0.4	1110	666	444	554.0	371.0	1100	927.0	845.0	996.8	327.5	246.1	448.2	141401.8	108145.8	173777.3	2828.0	2164.9	3478.7	64412.1	105641.4	85836.7	43165.2	69738.9	55288.4
0.4	1110	666	444	561.0	376.5	1150	938.0	874.2	1001.8	335.1	250.7	440.9	136276.2	113525.2	170057.8	2725.5	2271.5	3401.2	68351.6	101711.7	82553.6	45273.8	68137.4	53427.9
0.4	1110	666	444	571.0	381.0	1200	948.0	886.2	1009.8	310.5	240.0	386.1	134608.5	113941.6	164754.3	2696.4	2280.8	3295.1	68004.1	98537.1	80893.2	45889.7	65910.5	53762.2
0.6000000000000001	1110	444	666	439.0	665.0	0	1103.0	1101.2	1105.0	3855.0	3572.7	4190.0	623779.8	613407.7	632594.6	12475.6	12268.2	12651.9	165912.9	176088.9	171420.6	442987.9	458877.2	450894.3
0.6000000000000001	1110	444	666	437.0	663.0	50	1100.0	1097.0	1102.0	3710.5	3377.7	3983.6	534747.8	524097.7	546600.2	10695.0	10482.0	10932.0	150764.1	161190.2	155949.9	370727.9	387280.1	379078.1
0.6000000000000001	1110	444	666	432.0	659.0	100	1090.0	1085.2	1094.0	3394.3	3163.1	3740.6	421433.6	410796.7	431619.0	8428.7	8215.9	8632.4	136577.7	147315.9	142238.3	272201.4	285297.4	278612.6
0.6000000000000001	1110	444	666	428.0	651.0	150	1079.0	1071.0	1085.0	3075.1	2801.1	3477.1	382072.4	366551.1	395734.4	7642.6	7331.0	7915.4	139933.6	154355.9	147449.4	224531.8	242582.5	234267.4
0.6000000000000001	1110	444	666	422.0	641.0	200	1061.0	1045.0	1073.0	2777.9	2454.0	3100.3	374668.8	353576.8	395921.4	7493.4	7071.5	7918.4	144390.1	164167.7	154036.5	208540.3	232060.6	220482.7
0.6000000000000001	1110	444	666	410.0	622.0	250	1030.0	996.0	1054.8	2477.7	2188.5	2948.6	368746.7	342320.6	404390.3	7374.9	6846.4	8087.8	141734.7	172449.9	154214.1	197999.7	231937.5	213402.9
0.6000000000000001	1110	444	666	391.5	591.0	300	982.0	922.0	1022.5	2200.7	1873.7	2549.0	355580.9	318787.1	394779.1	7111.6	6377.9	7895.6	135882.9	168692.1	153014.6	182433.0	225806.8	205232.6
0.6000000000000001	1110	444	666	363.0	545.0	350	908.0	824.8	976.0	1819.4	1494.2	2181.1	321689.9	274438.7	362423.7	6433.8	5488.8	7248.5	114007.7	153941.7	135575.9	159002.1	209564.0	186002.8
0.6000000000000001	1110	444	666	350.0	524.0	400	872.0	799.0	936.2	1474.0	1200.4	1831.8	276232.2	237195.2	337772.4	5524.6	4750.8	6755.4	97757.7	139540.0	116614.5	137406.8	193364.6	160684.4
0.6000000000000001	1110	444	666	332.5	500.5	450	832.0	737.8	908.8	1283.8	1038.3	1666.4	248666.2	200080.3	308562.3	4973.3	4007.3	6171.2	83520.0	128020.0	104435.5	116159.3	179976.5	144037.0
0.6000000000000001	1110	444	666	317.0	474.5	500	792.5	688.0	884.0	1056.0	820.7	1391.5	213087.3	167254.0	272394.5	4261.7	3345.1	5453.9	69884.4	114417.3	87715.4	98627.5	158518.0	126020.9
0.6000000000000001	1110	444	666	314.0	469.0	550	783.0	693.0	859.8	937.1	727.9	1200.6	205566.0	163049.1	245945.2	4114.1	3262.2	4925.9	66323.8	102122.8	85132.9	94298.7	144063.1	120423.9
0.6000000000000001	1110	444	666	315.5	475.0	600	792.5	707.5	869.8	839.4	635.3	1062.2	193062.1	161022.0	236564.8	3861.2	3220.4	4731.3	66758.6	96814.0	80160.0	93649.9	138506.2	114595.0
