# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f8efa4be840>; Scale Parameter = 119m ; Sps Parameters = [[0.02       0.09       0.00285714 0.00053   ]
 [0.02       0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.4	1110	666	444	649.0	441.0	0	1090.0	1085.0	1094.0	4028.7	3740.6	4503.1	493930.8	485538.8	504144.9	9878.6	9710.8	10082.9	247458.8	261333.5	255415.5	232647.0	246052.6	239288.5
0.4	1110	666	444	640.0	439.0	50	1079.0	1072.2	1084.0	3956.2	3623.4	4347.3	432472.2	423159.7	442743.6	8649.4	8464.7	8854.9	227048.3	239549.6	232675.0	194292.5	206260.3	200045.5
0.4	1110	666	444	623.0	429.0	100	1050.0	1041.0	1061.0	3625.7	3250.7	4112.7	396872.9	380834.5	416366.9	7937.5	7616.7	8327.3	225172.0	248236.3	235757.9	152868.8	167944.7	160811.2
0.4	1110	666	444	594.0	408.0	150	1002.5	974.2	1025.0	3227.8	2802.4	3728.8	400300.7	381657.4	443636.0	8010.4	7633.1	8872.7	235253.6	281147.1	252357.0	141930.3	166267.1	151688.5
0.4	1110	666	444	554.5	377.0	200	935.0	860.0	971.0	2598.3	2266.5	3086.7	388778.4	349531.0	448552.5	7775.6	6992.9	8971.1	216135.5	283488.6	242664.1	128676.8	167516.0	144739.0
0.4	1110	666	444	474.5	322.5	250	800.0	704.2	878.0	1970.3	1654.1	2320.5	311179.0	259309.5	368592.8	6229.4	5192.3	7371.9	161967.4	231989.2	193363.2	96636.7	138841.5	117344.7
0.4	1110	666	444	412.5	280.0	300	695.5	574.8	799.2	1480.6	1215.9	1843.6	243444.6	181481.3	303783.7	4872.1	3631.3	6075.7	113327.7	187685.3	151561.2	68726.1	114458.7	93699.5
0.4	1110	666	444	377.0	255.5	350	630.5	534.2	730.2	1131.2	876.8	1462.3	189041.9	139286.4	238025.2	3784.1	2789.7	4768.8	87914.5	146287.1	115849.5	53411.2	90511.8	73558.6
0.4	1110	666	444	361.0	241.5	400	602.0	514.2	695.0	910.7	691.1	1210.5	156576.6	121919.9	201962.0	3131.5	2442.8	4043.7	74130.2	123419.6	95534.1	45754.5	78425.3	60815.3
0.4	1110	666	444	381.0	250.5	450	631.0	544.0	725.5	827.1	617.2	1030.7	154050.2	112835.8	203022.5	3081.0	2262.7	4060.5	69556.7	124029.3	95723.4	43885.0	78919.7	58958.0
0.4	1110	666	444	374.0	248.5	500	622.0	545.8	696.2	677.7	519.7	876.6	139096.0	107228.3	167749.5	2785.7	2145.7	3359.4	65554.0	102885.2	85560.5	40986.8	65746.4	53577.7
0.4	1110	666	444	381.0	252.5	550	632.0	563.0	697.8	605.6	457.5	796.6	127883.6	98396.0	163340.7	2560.3	1970.9	3267.6	60092.8	99384.8	77479.1	38408.5	63244.6	49842.4
0.4	1110	666	444	392.0	263.5	600	650.0	588.2	741.5	529.8	378.2	695.3	125789.6	96821.7	156085.8	2518.4	1939.9	3128.0	58794.1	94294.5	76337.5	37222.0	61617.3	49037.7
0.4	1110	666	444	411.5	276.0	650	689.5	605.8	768.0	486.4	364.5	674.4	122752.1	95705.6	163812.5	2458.8	1916.3	3276.2	58191.5	97802.7	75035.1	38292.4	63912.0	48500.5
0.4	1110	666	444	431.0	291.0	700	718.5	649.5	786.2	441.3	343.7	575.5	125583.3	99687.8	153234.8	2513.7	1996.8	3065.7	59495.5	93499.6	76947.5	40039.2	60499.2	49351.0
0.4	1110	666	444	453.0	305.0	750	758.0	683.0	818.8	418.6	325.9	534.7	126089.6	102376.7	153064.4	2521.8	2047.5	3061.3	61941.2	91315.6	75681.6	40874.9	60593.4	50071.1
0.4	1110	666	444	468.5	312.0	800	779.0	711.0	850.8	404.7	288.8	530.7	125480.5	107789.4	156767.0	2518.8	2155.8	3135.3	63411.0	94090.8	77002.8	42832.4	61657.6	49726.4
0.4	1110	666	444	482.5	321.0	850	804.0	714.5	869.8	372.3	272.5	497.9	123446.5	98052.2	153142.8	2478.5	1967.3	3064.6	59758.0	93560.9	75073.1	38103.6	60806.0	48991.5
0.4	1110	666	444	496.0	330.5	900	822.5	750.2	904.0	342.9	245.5	467.3	125851.3	98496.0	152335.4	2521.6	1973.1	3046.7	59919.9	92073.3	75762.1	38820.2	60332.7	49636.0
0.4	1110	666	444	507.0	338.5	950	843.5	767.0	916.0	323.5	240.6	410.9	118268.1	95628.1	145935.4	2369.5	1915.6	2921.3	57328.0	88272.3	71189.1	38052.2	57991.2	46457.1
0.4	1110	666	444	525.0	352.0	1000	875.5	806.5	935.8	307.1	231.0	427.5	129545.8	104695.5	155643.0	2590.9	2102.7	3114.8	63192.6	94464.6	77886.9	40962.9	62118.2	51654.7
0.4	1110	666	444	540.0	362.0	1050	899.5	844.2	952.8	307.9	238.4	403.5	126504.9	101601.1	145447.1	2536.2	2035.1	2908.9	60195.3	87624.2	75931.3	40228.0	58568.5	49655.3
0.4	1110	666	444	546.0	363.5	1100	909.5	837.0	971.8	267.7	201.9	371.0	123146.9	97118.7	149093.1	2467.8	1944.7	2988.1	58890.1	89555.6	73904.8	38115.8	59595.0	48563.4
0.4	1110	666	444	565.0	377.5	1150	939.0	870.0	999.8	288.3	208.4	378.8	128800.3	101685.8	151862.4	2576.0	2033.7	3037.2	60611.8	91799.1	77253.1	40258.6	60116.5	51517.9
0.4	1110	666	444	573.0	383.0	1200	953.0	888.0	1013.5	279.9	206.1	369.6	120734.6	96736.3	150710.3	2416.0	1935.1	3014.2	58037.0	91779.0	72782.9	38444.8	59553.4	47887.9
0.6000000000000001	1110	444	666	435.0	663.0	0	1098.0	1095.0	1101.0	4117.2	3816.5	4587.4	530970.4	519314.6	539847.5	10619.4	10386.3	10798.9	166864.1	176074.4	171031.6	351176.6	367231.8	359527.6
0.6000000000000001	1110	444	666	430.0	660.0	50	1090.0	1086.0	1093.0	3896.0	3579.7	4417.2	453079.7	444018.0	462519.5	9061.6	8882.9	9250.4	149297.2	158948.8	153867.5	291828.5	307088.1	299511.5
0.6000000000000001	1110	444	666	420.0	649.0	100	1069.0	1061.0	1076.0	3592.4	3271.8	4169.3	381470.6	369242.2	396154.6	7634.8	7386.0	7925.2	141927.6	156765.7	148868.4	226057.8	242423.9	234024.7
0.6000000000000001	1110	444	666	411.0	629.0	150	1040.0	1021.5	1054.8	3087.1	2704.8	3562.6	373514.3	349988.1	408688.4	7470.3	6999.8	8173.8	146041.0	171503.6	157210.0	203574.3	235263.1	216506.1
0.6000000000000001	1110	444	666	387.0	592.5	200	980.5	932.0	1018.0	2617.1	2258.9	2950.5	372110.9	331287.2	417640.6	7442.2	6635.3	8352.8	140904.7	178997.9	161077.0	189613.4	236353.1	211624.2
0.6000000000000001	1110	444	666	356.5	539.0	250	894.5	813.2	963.5	2147.1	1766.6	2486.5	330504.9	280792.0	381933.7	6610.1	5615.8	7644.5	119044.0	163910.2	141331.5	161033.9	218325.5	191216.4
0.6000000000000001	1110	444	666	312.0	469.0	300	779.5	677.5	871.8	1654.9	1351.8	2045.3	262738.5	210144.8	320317.7	5262.2	4202.9	6406.4	92785.5	137850.3	112340.2	120967.6	183603.4	153614.3
0.6000000000000001	1110	444	666	292.0	431.0	350	725.0	622.2	817.8	1302.1	1029.4	1649.8	220706.0	172461.5	278261.6	4417.6	3451.8	5565.2	71905.4	115374.3	94040.4	98548.4	162551.3	128873.0
0.6000000000000001	1110	444	666	275.0	418.0	400	696.0	566.0	774.8	991.7	781.4	1295.9	188242.6	137738.7	231228.2	3764.9	2759.6	4630.6	57267.1	96358.7	78606.2	80854.4	135360.4	110086.7
0.6000000000000001	1110	444	666	254.0	387.5	450	638.0	568.8	730.2	826.1	671.5	1058.8	155039.8	124699.9	200044.8	3103.3	2495.5	4003.1	51275.5	81783.4	63894.8	72174.3	116251.2	91128.0
0.6000000000000001	1110	444	666	258.5	381.5	500	640.0	570.0	711.8	678.8	518.0	922.8	141616.3	111860.2	175578.4	2835.6	2244.2	3512.1	45844.2	72523.2	57989.8	65407.2	102896.7	83258.0
0.6000000000000001	1110	444	666	262.5	390.5	550	654.5	578.2	749.5	626.1	457.0	778.6	134463.7	106684.5	166836.1	2689.3	2133.7	3336.7	43771.5	68474.7	55851.5	63712.2	98250.0	79102.5
0.6000000000000001	1110	444	666	279.0	413.0	600	691.0	625.5	773.0	586.7	448.8	778.4	137603.0	109845.5	163939.2	2759.7	2199.6	3278.8	44929.5	67021.2	56189.0	64947.5	97037.7	80535.9
0.6000000000000001	1110	444	666	280.0	416.5	650	699.5	623.2	780.5	480.0	370.3	676.7	124683.9	97556.8	157151.1	2493.7	1951.1	3144.2	39808.2	63904.0	51508.0	57983.4	93550.0	73199.3
0.6000000000000001	1110	444	666	297.5	449.0	700	743.0	670.0	817.8	440.9	330.4	581.6	130202.5	105019.8	154995.2	2605.5	2101.4	3105.8	42098.7	64074.6	52813.7	62615.7	92550.7	77413.6
0.6000000000000001	1110	444	666	303.0	458.5	750	763.0	681.0	850.0	435.3	316.2	570.5	128820.1	101211.9	156068.8	2577.6	2025.3	3121.4	40832.0	63248.7	51495.5	60333.1	92918.1	77479.4
0.6000000000000001	1110	444	666	312.5	467.5	800	780.0	708.0	860.2	380.2	277.9	520.9	122789.6	100484.0	149684.5	2457.5	2011.0	2993.7	40262.8	61234.1	49914.6	59263.2	88710.2	73004.4
0.6000000000000001	1110	444	666	326.0	488.5	850	817.0	743.0	871.0	364.5	279.4	475.8	123992.5	100364.3	151880.8	2479.9	2008.1	3042.5	40598.6	62192.1	50986.7	59352.6	90056.5	73464.0
0.6000000000000001	1110	444	666	345.5	511.0	900	855.0	785.2	923.8	350.1	261.9	479.2	128725.3	105635.2	158901.8	2574.5	2112.7	3179.0	42849.1	63987.5	52428.5	63287.0	94790.5	76950.8
0.6000000000000001	1110	444	666	340.0	509.5	950	849.0	784.5	926.5	316.2	243.6	435.5	121638.0	102818.7	152476.8	2432.8	2058.4	3049.5	41287.9	60994.6	48772.9	61181.7	90347.2	73136.2
0.6000000000000001	1110	444	666	353.5	534.5	1000	887.0	806.0	946.8	317.4	238.1	427.1	123132.9	103939.9	149910.3	2467.4	2080.6	2998.2	41870.7	60624.4	50272.6	62530.5	89886.2	73134.0
0.6000000000000001	1110	444	666	360.0	540.0	1050	903.0	840.0	979.8	311.4	234.6	423.5	124697.3	102732.7	150969.4	2493.9	2058.1	3019.4	41762.5	61569.4	50003.6	61502.4	89554.7	74230.2
0.6000000000000001	1110	444	666	372.0	559.5	1100	931.5	856.0	994.0	300.5	218.5	398.7	123473.7	99811.0	151323.7	2469.5	1996.2	3033.3	40963.6	61610.8	49850.7	59659.5	89100.4	73676.0
0.6000000000000001	1110	444	666	381.0	570.0	1150	950.5	872.2	1012.5	282.6	214.7	393.4	127194.3	104283.5	152067.0	2543.9	2095.0	3046.3	42150.4	62409.2	51392.5	62651.8	91549.6	75845.2
0.6000000000000001	1110	444	666	387.0	574.5	1200	962.0	889.5	1019.8	297.9	225.3	386.5	124221.4	103020.4	149454.4	2489.3	2060.4	2989.1	41528.8	60637.8	50807.7	61108.5	89323.9	73615.4
0.8	1110	222	888	218.0	885.0	0	1103.0	1101.0	1105.0	4244.6	3900.8	4568.3	566490.3	553855.5	577309.0	11329.8	11077.1	11546.2	82738.9	89129.0	86185.9	467977.4	490141.1	479492.0
0.8	1110	222	888	216.0	881.0	50	1098.0	1095.0	1100.0	4021.9	3636.9	4514.6	474168.8	464015.4	484331.9	9483.4	9280.3	9686.6	73257.1	79660.3	76191.0	389638.6	406251.8	397127.1
0.8	1110	222	888	213.0	870.0	100	1083.0	1077.0	1089.0	3664.3	3230.1	4128.3	372781.0	361181.3	385220.2	7457.1	7225.7	7704.4	67672.8	75339.3	71357.4	292816.0	311833.8	301730.5
0.8	1110	222	888	209.0	854.5	150	1063.0	1051.0	1072.0	3172.1	2790.4	3567.7	354064.7	334251.6	370821.5	7084.7	6687.9	7416.4	69754.2	80738.7	74898.1	264225.1	292144.1	276717.2
0.8	1110	222	888	201.0	820.0	200	1021.0	988.2	1047.8	2618.7	2244.9	3126.4	356544.9	326180.4	385167.2	7132.4	6523.6	7703.3	71603.7	87101.7	78450.6	256571.9	298578.6	277926.8
0.8	1110	222	888	190.0	772.0	250	965.0	896.2	1004.8	2225.2	1809.5	2726.8	335249.6	295680.0	374335.1	6705.0	5921.4	7488.9	63827.4	83285.6	72959.8	232444.0	292082.8	260921.7
0.8	1110	222	888	172.0	704.5	300	873.0	787.2	938.0	1790.4	1419.2	2171.3	289826.4	246734.3	338263.2	5800.2	4939.6	6770.2	52909.2	73635.5	62679.6	193570.0	265601.7	228317.7
0.8	1110	222	888	156.0	632.0	350	786.0	702.2	888.0	1365.4	1100.4	1663.9	244566.9	193646.9	297357.3	4895.6	3872.9	5947.1	40873.8	63107.0	50818.0	153177.8	233603.6	192384.5
