# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f53d596ec00>; Scale Parameter = 119m ; Sps Parameters = [[0.015      0.14       0.00285714 0.00053   ]
 [0.015      0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.4	1100	906.0		841.2	976.5	312.2	224.9	426.1	124919.7	102651.0	154220.6	1873.8	1539.8	2313.3
0.4	1150	924.5		865.2	984.0	287.6	211.8	399.6	125155.0	102654.1	152638.9	1877.3	1539.8	2289.6
0.4	1200	944.0		870.5	1012.2	277.6	210.0	391.1	121404.6	98926.6	149345.5	1825.4	1483.9	2240.2
0.6000000000000001	0	1094.0		1091.0	1098.0	4279.0	4018.6	4817.7	528311.8	518737.5	538988.5	7924.7	7781.1	8086.4
0.6000000000000001	50	1084.5		1079.0	1090.0	4257.4	3884.8	4780.1	460159.2	450253.1	471195.6	6902.4	6753.8	7067.9
0.6000000000000001	100	1054.0		1045.0	1063.8	3888.7	3471.3	4372.8	411590.1	394974.1	428314.7	6173.9	5924.6	6424.7
0.6000000000000001	150	1008.0		987.0	1029.0	3317.9	2923.5	3789.7	426247.1	401412.1	455968.3	6393.7	6021.2	6841.4
0.6000000000000001	200	922.5		854.8	969.8	2672.6	2289.3	3208.3	403181.1	353208.8	459173.3	6047.7	5298.4	6892.9
0.6000000000000001	250	791.0		669.2	875.0	2128.5	1708.3	2579.9	325513.9	265270.8	394296.2	4882.7	3983.0	5917.5
0.6000000000000001	300	696.5		577.0	800.0	1562.4	1285.6	1875.3	251775.3	186246.0	320139.8	3776.6	2798.3	4802.1
0.6000000000000001	350	616.0		519.0	723.0	1216.4	989.4	1552.7	191380.8	144567.6	249760.7	2873.3	2171.6	3746.4
