# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f48b84f2ca0>; Scale Parameter = 119m ; Sps Parameters = [[0.015      0.14       0.00285714 0.00053   ]
 [0.015      0.14       0.00285714 0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.6000000000000001	850	813.0		738.0	879.0	484.4	336.7	635.8	153619.9	126994.9	186860.4	2304.3	1906.2	2802.9
0.6000000000000001	900	848.0		777.0	903.8	442.6	339.4	610.1	161634.0	131927.4	187088.5	2426.3	1981.6	2810.4
0.6000000000000001	950	872.0		789.2	940.5	437.0	345.9	571.4	158062.2	131509.3	195474.4	2370.9	1975.1	2937.2
0.6000000000000001	1000	881.0		807.5	945.8	424.8	323.0	558.8	161474.9	132812.0	195709.0	2422.1	1992.2	2935.6
0.6000000000000001	1050	896.5		821.0	959.0	399.5	308.0	520.8	150852.5	128185.9	185252.2	2266.7	1926.1	2778.8
0.6000000000000001	1100	926.0		847.0	985.0	402.5	280.3	536.2	162198.7	121378.0	191372.4	2433.0	1820.7	2875.4
0.6000000000000001	1150	937.0		857.2	1004.0	376.1	276.7	506.8	154208.3	123404.5	186259.1	2313.1	1852.5	2793.9
0.6000000000000001	1200	954.5		872.2	1009.8	345.0	251.3	464.5	151621.2	129701.3	182145.7	2274.3	1945.5	2732.2
0.8	0	1105.0		1103.0	1107.0	4047.8	3768.0	4375.4	688656.5	678251.0	697701.0	10329.8	10173.8	10465.5
0.8	50	1102.0		1100.0	1104.0	3901.4	3643.5	4189.0	599578.7	589572.3	607838.7	8993.7	8843.6	9117.6
0.8	100	1093.0		1088.0	1096.0	3729.6	3388.8	4106.0	475758.6	465090.0	485197.3	7136.4	6976.3	7278.0
0.8	150	1080.0		1072.0	1086.0	3353.1	3052.8	3718.2	427983.4	410961.4	444446.3	6419.8	6164.4	6666.7
0.8	200	1065.0		1047.2	1075.0	3159.8	2738.1	3536.3	429517.8	403760.5	460843.4	6442.8	6056.4	6912.7
0.8	250	1030.0		998.0	1055.0	2767.2	2456.7	3153.4	416600.4	386779.7	459110.1	6249.0	5801.7	6886.7
0.8	300	984.0		929.2	1028.0	2335.7	1965.0	2773.2	399735.6	362464.3	451801.7	5996.1	5437.0	6777.0
0.8	350	926.5		843.2	977.8	1991.5	1710.8	2342.4	366538.9	317303.6	419784.1	5498.1	4763.6	6296.8
0.8	400	873.5		783.5	959.0	1753.8	1462.1	2118.2	330121.6	277049.1	387536.4	4951.8	4155.7	5813.0
0.8	450	823.0		720.5	902.5	1438.8	1173.7	1832.6	282001.0	230440.3	333931.3	4233.0	3456.6	5009.0
0.8	500	793.0		705.0	878.8	1245.6	989.7	1550.7	264083.3	197229.9	321054.5	3961.2	2958.4	4820.2
0.8	550	767.0		655.5	854.8	1069.3	826.0	1309.3	225152.0	175575.3	283980.9	3377.3	2638.8	4259.7
0.8	600	786.5		698.0	876.0	925.5	716.3	1151.6	213570.7	168672.8	265677.3	3203.6	2530.1	3985.2
0.8	650	789.0		701.8	882.2	808.0	610.7	1037.2	209738.8	167758.9	262176.1	3146.1	2519.4	3933.5
0.8	700	795.0		716.5	877.8	770.4	563.3	989.3	202677.9	160790.1	248662.1	3040.3	2415.4	3731.4
0.8	750	805.0		733.0	892.0	663.7	511.8	870.4	189449.1	158494.5	231237.4	2843.1	2377.4	3468.6
0.8	800	818.0		742.8	901.8	611.1	488.8	810.7	188938.8	156523.1	218754.3	2834.1	2349.7	3281.3
0.8	850	854.0		780.2	920.5	558.1	422.7	799.3	190485.9	157083.9	228641.2	2860.8	2358.8	3429.6
0.8	900	872.5		798.2	948.0	562.3	430.7	737.5	188323.0	156016.0	228804.4	2824.8	2340.2	3432.6
0.8	950	874.5		789.2	931.8	477.1	374.3	638.1	176872.1	139852.3	208875.0	2655.8	2097.8	3133.1
0.8	1000	895.0		830.2	965.5	491.5	386.9	656.4	177504.5	148807.0	222110.9	2662.6	2232.1	3331.7
0.8	1050	918.0		845.0	982.5	464.8	333.6	606.3	180632.7	149684.7	215708.7	2709.5	2245.3	3235.6
0.8	1100	934.0		856.2	999.0	435.2	326.1	579.3	184600.4	144184.4	223035.5	2769.0	2163.9	3345.5
0.8	1150	952.5		867.0	1004.8	408.7	337.1	541.0	176718.1	144073.9	210491.5	2650.8	2161.1	3157.4
0.8	1200	962.0		880.0	1023.5	389.9	303.7	553.0	175105.1	141919.5	209443.8	2626.6	2128.8	3141.7
1.0	0	1106.0		1105.0	1107.0	4118.6	3834.1	4458.9	752039.2	742637.7	763938.3	11280.6	11139.6	11459.1
1.0	50	1104.0		1102.0	1106.0	3919.0	3668.6	4286.3	659527.5	648968.9	668823.4	9892.9	9734.5	10032.4
1.0	100	1098.0		1095.0	1101.0	3727.0	3473.7	4114.9	511419.9	502603.1	520491.3	7671.3	7539.0	7807.4
1.0	150	1092.0		1088.0	1096.0	3356.4	3017.7	3802.4	439309.3	427178.0	451428.2	6589.6	6407.7	6771.4
1.0	200	1084.0		1073.0	1090.0	3086.8	2770.9	3479.0	414605.8	397305.2	431114.6	6219.1	5959.6	6466.7
1.0	250	1070.5		1054.2	1082.0	2774.5	2468.5	3146.0	407223.5	383729.5	435181.3	6108.4	5755.9	6527.7
1.0	300	1054.5		1024.0	1072.0	2538.6	2190.0	2959.1	406957.0	382244.3	442305.5	6104.4	5733.7	6634.6
1.0	350	1023.0		983.2	1056.8	2244.7	1967.1	2670.1	394722.2	367188.2	434507.5	5923.9	5509.4	6517.6
1.0	400	987.5		936.0	1031.8	2001.8	1731.7	2405.1	380236.1	340018.5	422975.0	5704.8	5105.6	6344.6
