# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function cauchy_thick at 0x7f8e8ad06b60>; Scale Parameter = 84.5m ; Sps Parameters = [[0.00785    0.14       0.00333333 0.00053   ]
 [0.00785    0.14       0.00333333 0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.4	1000	995.0		928.0	1047.8	501.4	359.3	662.8	176828.6	139742.7	221294.0	1390.5	1097.0	1737.2
0.4	1050	1010.0		935.0	1054.0	507.3	363.9	680.6	181505.2	143523.8	215564.8	1424.8	1126.7	1693.1
0.4	1100	1006.5		935.5	1057.8	425.0	314.6	584.1	162938.7	134440.0	209704.6	1279.1	1055.4	1646.2
0.4	1150	1031.5		959.0	1071.8	453.6	307.0	620.1	169546.4	130137.7	201522.1	1330.9	1021.6	1581.9
0.4	1200	1025.0		968.5	1074.8	437.0	315.5	585.0	165514.1	134878.1	201090.2	1299.6	1058.8	1578.6
0.6000000000000001	0	1094.0		1091.0	1098.0	3735.8	3517.4	4026.5	562892.9	552729.3	573182.2	4418.7	4339.3	4499.5
0.6000000000000001	50	1087.0		1082.0	1090.0	3748.3	3446.0	4067.4	505457.0	494031.2	514822.9	3967.8	3878.1	4041.4
0.6000000000000001	100	1068.0		1063.0	1073.0	3455.3	3140.4	3894.2	453188.4	440800.4	465214.5	3557.8	3460.3	3651.9
0.6000000000000001	150	1058.0		1050.0	1064.0	3118.5	2783.1	3568.6	458818.6	440435.6	478138.6	3601.7	3457.4	3753.4
0.6000000000000001	200	1048.0		1034.2	1057.0	2711.5	2416.0	3163.9	468441.6	441967.0	499567.4	3677.3	3470.5	3921.6
0.6000000000000001	250	1041.0		1023.0	1056.0	2368.6	2074.3	2768.1	467286.1	435989.3	495768.0	3668.2	3422.5	3891.8
0.6000000000000001	300	1033.5		1014.0	1049.0	2148.8	1774.7	2505.3	459845.5	421258.6	492078.3	3609.8	3306.9	3862.8
0.6000000000000001	350	1025.5		1006.0	1049.0	1896.9	1625.7	2259.8	435964.7	405097.3	473189.4	3422.3	3180.0	3714.5
0.6000000000000001	400	1026.0		994.0	1044.8	1632.5	1400.5	2066.9	408416.6	368566.8	449702.0	3206.1	2893.2	3531.1
0.6000000000000001	450	1015.5		981.0	1046.0	1568.3	1281.1	1827.3	389422.3	351645.3	428488.3	3057.0	2760.8	3363.9
0.6000000000000001	500	1007.0		959.0	1044.0	1393.9	1162.8	1647.7	359406.4	318198.4	411048.4	2822.9	2500.8	3227.2
0.6000000000000001	550	1008.5		959.0	1039.8	1234.0	1009.4	1536.9	336713.5	303765.3	375163.8	2643.2	2384.6	2945.0
