# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 3000
# Kernel = <function exponential_kernel at 0x7f858d84eb60>; Scale Parameter = 119m ; Sps Parameters = [[0.00833    0.14       0.00285714 0.00053   ]
 [0.00833    0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Radius	Med_KE_A	Med_KE_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.2	1110	888	222	748.0	188.0	850	937.0	866.5	1002.2	309.6	225.5	396.1	128382.8	102101.8	151860.8	1069.4	850.5	1265.0	81733.4	120943.2	102621.0	20258.8	30384.6	25664.2
0.2	1110	888	222	765.0	192.0	900	956.0	889.8	1014.5	296.7	215.5	417.1	125751.5	99468.5	157207.2	1047.5	828.6	1310.7	80528.6	125907.2	100770.1	19945.5	31908.2	25239.5
0.2	1110	888	222	785.5	198.5	950	985.5	919.8	1041.8	272.6	197.2	383.9	129586.0	100236.8	155132.0	1082.4	835.0	1292.2	79791.9	123944.1	104320.5	19813.4	31265.7	25603.9
0.2	1110	888	222	796.0	200.0	1000	994.0	915.2	1048.8	263.4	202.6	354.5	119310.0	95405.4	142485.5	993.9	796.2	1186.9	76800.8	114554.1	94831.4	18970.8	29420.4	24171.7
0.2	1110	888	222	792.0	199.5	1050	990.5	930.5	1057.0	238.1	171.4	345.5	111427.1	90162.9	143059.4	928.2	751.1	1191.7	72368.6	114395.8	89017.4	18417.3	28916.7	22792.2
0.2	1110	888	222	817.5	204.0	1100	1022.0	954.5	1065.8	246.4	174.3	342.8	114260.0	92769.6	145700.9	951.8	774.8	1213.7	73968.6	117174.3	91405.0	18652.9	29470.1	22723.3
0.2	1110	888	222	820.5	205.5	1150	1026.0	961.5	1080.8	225.9	174.9	323.0	112615.6	88491.3	138306.4	938.1	737.5	1152.1	70440.1	110600.4	90186.6	17782.0	27881.1	22428.4
0.2	1110	888	222	832.5	209.0	1200	1041.5	988.5	1088.0	214.5	157.6	315.9	114570.8	88111.4	138641.7	954.4	734.0	1154.9	70533.9	111372.1	91521.0	17636.6	27781.7	22945.0
0.4	1110	666	444	656.0	437.0	0	1093.0	1090.0	1096.0	4112.0	3784.5	4503.3	494148.3	485134.9	505056.5	4116.3	4041.2	4207.1	250912.8	262546.9	257584.9	229880.6	245323.8	238034.3
0.4	1110	666	444	646.0	431.0	50	1077.0	1070.0	1081.0	3860.6	3481.5	4264.4	418359.3	407166.6	429068.0	3484.9	3391.7	3574.1	222947.0	235420.2	229192.5	181775.6	195723.6	188397.0
0.4	1110	666	444	625.0	417.0	100	1042.5	1029.0	1053.0	3233.9	2893.0	3723.0	412683.7	391798.1	438774.3	3437.7	3263.7	3655.0	228477.9	256268.1	240604.8	161782.6	183053.0	172253.4
0.4	1110	666	444	596.0	397.5	150	992.0	960.2	1023.8	2573.3	2229.3	3022.3	425922.7	398655.7	467338.0	3547.9	3324.3	3892.9	233518.0	276259.8	252295.8	158351.8	190197.2	171384.9
0.4	1110	666	444	543.0	358.0	200	900.5	839.0	968.8	2030.9	1681.8	2381.1	374854.5	322155.3	426985.3	3122.5	2683.6	3556.8	193679.8	254797.6	222273.3	130628.8	171567.6	150802.0
